# ENTITIES
entity_name,source_id,graph_data
 The Witcher,chunk-8a3a3ceeb08e372514a2f3f800f4ac67,"{'entity_id': ' The Witcher', 'source_id': 'chunk-8a3a3ceeb08e372514a2f3f800f4ac67', 'description': ""Tavik's confrontation is directed towards The Witcher, displaying animosity and challenging his reputation."", 'entity_type': 'UNKNOWN'}"
1986,chunk-dc7ba71e7e327604256ab9b2a5912f73,"{'entity_id': '1986', 'entity_type': 'event', 'description': ""The year Geralt was introduced as a character in the original stories, marking the beginning of the witcher's adventures."", 'source_id': 'chunk-dc7ba71e7e327604256ab9b2a5912f73'}"
A Freeman,chunk-1403fa5d5c95936735498d32dae07de5,"{'entity_id': 'A Freeman', 'entity_type': 'person', 'description': ""A Freeman is a character mentioned in Renfri's recollection, who abused her and contributed to her tragic backstory."", 'source_id': 'chunk-1403fa5d5c95936735498d32dae07de5'}"
A Lute,chunk-4cdf735384154fa25f2385a111505afa,"{'entity_id': 'A Lute', 'entity_type': 'equipment', 'description': ""The lute is a musical instrument associated with Dandilion's character, used for strumming music during his performances."", 'source_id': 'chunk-4cdf735384154fa25f2385a111505afa'}"
A Spell,chunk-ddafd25761710a7f2ca20abacc76b6cd,"{'entity_id': 'A Spell', 'entity_type': 'category', 'description': 'A Spell mentioned in the context is linked to the princess and the events that unfold, requiring certain actions to be lifted.', 'source_id': 'chunk-ddafd25761710a7f2ca20abacc76b6cd'}"
A Tavern,chunk-af5147b2ede3741977eb95f0cc579912,"{'entity_id': 'A Tavern', 'entity_type': 'geo', 'description': 'A Tavern is suggested as a meeting place where characters plan to wait for Geralt and Yennefer, serving as a social hub in the narrative.<SEP>A Tavern is suggested as a place where the characters plan to wait for Yennefer and Geralt to join them.', 'source_id': 'chunk-af5147b2ede3741977eb95f0cc579912'}"
Aard Sign,chunk-2246f38b1d00aa9254376679efca6a8f<SEP>chunk-759c31a0d724ddf25221782d71ea45f2,"{'entity_id': 'Aard Sign', 'entity_type': 'category', 'description': ""The Aard Sign is a magical ability employed by Geralt in his effort to restrain Pavetta's wild powers during the tumultuous scene.<SEP>The Aard Sign is a magical ability used by Geralt to attempt to control or restrain Pavetta during the chaos.<SEP>The Aard sign is a magical ability used by Geralt to create a telekinetic blast, intended to incapacitate enemies like the striga.<SEP>The Aard sign is a magical ability utilized by Geralt to create a telekinetic force, affecting the striga's movement during their confrontation."", 'source_id': 'chunk-2246f38b1d00aa9254376679efca6a8f<SEP>chunk-759c31a0d724ddf25221782d71ea45f2'}"
Acacias,chunk-283feebb9b0f603e0d961958a93e42c0,"{'entity_id': 'Acacias', 'entity_type': 'geo', 'description': 'The Acacias are trees mentioned in the context of a potential consequence for soldiers who harm priestesses.', 'source_id': 'chunk-283feebb9b0f603e0d961958a93e42c0'}"
Adalia,chunk-f1c4f49c22efac96d7a35488eb90f76b,"{'entity_id': 'Adalia', 'entity_type': 'person', 'description': 'Adalia is the grandmother of Pavetta, known for her powerful abilities to control her environment.', 'source_id': 'chunk-f1c4f49c22efac96d7a35488eb90f76b'}"
Adda,chunk-79ada16d0041b9db184abd5d6c7b1d22<SEP>chunk-81576741f60ab1a260958abe5542ddac<SEP>chunk-44d8b823459e01ca296d69826edc7739<SEP>chunk-394441c0a762d60abfe2d473dac1d3d4<SEP>chunk-9b43b0fa568af8179a93b7f6544e402f<SEP>chunk-97a15bd1d991eef63c29349247c86230,"{'entity_id': 'Adda', 'entity_type': 'person', 'description': ""Adda is Foltest's sister and the mother of his child, who died shortly after giving birth.<SEP>Adda is the king's sister and mistress, whose relationship with Ostrit is tied to his motivations and emotional turmoil.<SEP>Adda is the sister of Foltest, whose pregnancy and eventual death during childbirth led to the birth of a royal bastard.<SEP>Adda is a character associated with a mummified corpse, indicating a supernatural context within the narrative.<SEP>Adda is Foltest's sister, whose prior actions led to magical consequences affecting a child.<SEP>Adda is identified as the striga, previously human but transformed into a creature, evoking strong emotional responses from others.<SEP>Adda is the original human form of the Striga, cursed and transformed into a creature, invoking concern and debate among her defenders and hunters.<SEP>Adda is mentioned as the mummified corpse in the tomb, indicating a tragic backstory connected to the striga.<SEP>Adda is the mummified corpse found in the crypt, representing the striga's tragic backstory as she was cursed into becoming a monster."", 'source_id': 'chunk-79ada16d0041b9db184abd5d6c7b1d22<SEP>chunk-81576741f60ab1a260958abe5542ddac<SEP>chunk-44d8b823459e01ca296d69826edc7739<SEP>chunk-394441c0a762d60abfe2d473dac1d3d4<SEP>chunk-9b43b0fa568af8179a93b7f6544e402f<SEP>chunk-97a15bd1d991eef63c29349247c86230'}"
